Codigo;Producto;CantVend;CantComp;Diferencia
AAA000839;Aguja Tejer P.T. N° 2;3;0;-3
AAA000840;Aguja Tejer P.T. N° 2.5;2;0;-2
AAA000841;Aguja Tejer P.T. N° 4;21;0;-21
AAA000842;Aguja Tejer P.T. N° 4.5;7;0;-7
AAA000843;Aguja Tejer P.T. N° 5;10;0;-10
AAA000844;Aguja Tejer P.T. N° 6;2;0;-2
AAA000845;Aguja Tejer Yily N° 7;8;0;-8
AAA000846;Agujas Curvas CBX;27;0;-27
AAA000847;Agujas Indio;51;0;-51
AAA000848;Agujas p/Lana Regal;8;0;-8
AAA000850;Agujas p/mostacilla CBX;33;0;-33
AAA000851;Agujas Pasacintas Acero CBX;8;0;-8
AAA000852;Agujas Soft p/manualidades CBX;32;0;-32
AAA000853;Alhajero Corazón;1;0;-1
AAA000854;Alcohol en Gel Luyagus 100 ml;12;0;-12
AAA000855;Alfiler Cabeza Perlada China en Disco;142;0;-142
AAA000856;Alfiler de Gancho 35 mm;6;0;-6
AAA000857;Alfiler de Gancho 50 mm;6;0;-6
AAA000858;Alfiler de Gancho Nº 00 x50u. 1629;36;0;-36
AAA000859;Alfiler de Gancho x Doc. 1629.1;109;0;-109
AAA000860;Alfiler de Gancho x Doc. 1629.3;151;0;-151
AAA000861;Alfileres Niquelados 50 grs. Sifap;200;0;-200
AAA000862;Alicate Kuber;32;0;-32
AAA000863;Alicate Trim;66;0;-66
AAA000866;Almohadilla p/Sello Nº3 Señorita ;2;0;-2
AAA000867;Servicio de Anillado ;242;0;-242
AAA000868;Aplique Goma Eva Diverti-Gom AL020;7;0;-7
AAA000869;Aplique Goma Eva Diverti-Gom AL027;5;0;-5
AAA000870;Aplique Goma Eva Diverti-Gom AL040;9;0;-9
AAA000871;Aplique Goma Eva Diverti-Gom AL050;8;0;-8
AAA000872;Aplique Goma Eva Diverti-Gom AL060;6;0;-6
AAA000873;Aplique Goma Eva Diverti-Gom AL061;1;0;-1
AAA000874;Aplique Goma Eva Diverti-Gom AL070;8;0;-8
AAA000875;Aplique Goma Eva Diverti-Gom AL080;3;0;-3
AAA000878;Aplique Goma Eva Diverti-Gom AL081;20;0;-20
AAA000879;Aplique Goma Eva Diverti-Gom AM002;1;0;-1
AAA000880;Aplique Goma Eva Diverti-Gom AM003;4;0;-4
AAA000881;Aplique Goma Eva Diverti-Gom AM004;11;0;-11
AAA000882;Aplique Goma Eva Diverti-Gom AM014;6;0;-6
AAA000883;Aplique Goma Eva Diverti-Gom AM033;1;0;-1
AAA000884;Aplique Goma Eva Diverti-Gom AM040;3;0;-3
AAA000885;Aplique Goma Eva Diverti-Gom LE003;2;0;-2
AAA000886;Aplique Goma Eva Diverti-Gom LE005;11;0;-11
AAA000887;Aplique Goma Eva Diverti-Gom Mi005;6;0;-6
AAA000888;Aplique Goma Eva Diverti-Gom Mi006;8;0;-8
AAA000889;Aplique Goma Eva Diverti-Gom NA014;2;0;-2
AAA000890;Aplique Goma Eva Diverti-Gom NA018;1;0;-1
AAA000891;Apliques Cuello;4;0;-4
AAA000892;Apósitos Curitas;1244;0;-1244
AAA000893;Arandelas de Cartón Pagoda 500u.;3;0;-3
AAA000894;Argollas de Madera Chica 7014;14;0;-14
AAA000895;Argollas de Madera Grande;17;0;-17
AAA000896;Argollas Metálicas Niqueladas 20 mm c/ cadena ;1864;0;-1864
AAA000897;Aritos c/Strass;22;0;-22
AAA000898;Aritos de Perlas Chicos;50;0;-50
AAA000899;Aritos de Perlas Grandes ;42;0;-42
AAA000900;Aritos Fantasía;106;0;-106
AAA000901;Aros de Carpeta 35 mm Efrén;281;0;-281
AAA000902;Aros de Carpeta 40 mm Ota;60;0;-60
AAA000903;Aros de Carpeta 50 mm Efrén;32;0;-32
AAA000904;Aros de Carpeta 50 mm Ota;527;0;-527
AAA000905;Aros de Carpeta 70 mm Efrén;211;0;-211
AAA000906;Arpillera Natural xMetro;51,23;0;-51,23
AAA000919;Arpillera Color xMetro Rojo;1,5;0;-1,5
AAA000921;Arpillera Color xMetro Turquesa;1,5;0;-1,5
AAA000922;Arpillera Color xMetro Verde Brillante;2;0;-2
AAA000926;Auricular Havit E72P1 Rosa;1;0;-1
AAA000929;Bandas Elásticas 100grs. MLR;78;0;-78
AAA000930;Bandas Elásticas 250grs. Ezco ;44;0;-44
AAA000931;Bandas Elásticas 25grs. MLR;74;0;-74
AAA000932;Bandas Elásticas 50grs. MLR;105;0;-105
AAA000933;Bandera Argentina Emblemas Argentinos 40x70 c/s;1;0;-1
